 , , , , , , ,Rush,Rush, ,Rec,Rec,AVG,TOT,AFP,TFP,$$$
 , , , ,Bye,GP,Car,Yds,TDs,Recp,Yds,TDs,FP,FP,VBD,VBD,VAL
 79. ,"Moore, Mewelde",PIT,RB,11,16,29,106,0.3,19.8,155,0.7,2.6,41.6,-5,-80.5,-19.4
 80. ,"Vereen, Shane",NE,RB,7,16,53,229,1.5,7.1,51,0.1,2.6,41.1,-5.1,-81.1,-19.5
 81. ,"Brown, Donald",IND,RB,11,16,53,207,0.9,7.7,65,0,2.3,36.7,-5.3,-85.5,-20.6
 82. ,"Brown, Aaron",DET,RB,9,16,33,155,1,9.7,72,0,2.1,33.5,-5.5,-88.6,-21.3
 83. ,"Dixon, Anthony",SF,RB,7,16,50,196,1.4,4.8,28,0,2.1,33,-5.6,-89.1,-21.4
 84. ,"Ware, Danny",NYG,RB,7,16,29,123,0.7,9.7,77,0.7,2,32.8,-5.6,-89.4,-21.5
 85. ,"Todman, Jordan",MIN,RB,9,16,33,137,0.3,12.9,90,0.1,2,31.8,-5.6,-90.3,-21.7
 86. ,"McClain, Le'Ron",KC,RB,6,16,30,109,1.2,9.6,67,0.3,2,31.5,-5.7,-90.6,-21.8
 87. ,"Leonard, Brian",CIN,RB,7,16,24,88,0.3,16.7,106,0.3,1.9,31.2,-5.7,-91,-21.9
 88. ,"Taylor, Chester",ARI,RB,6,16,41,166,1,6.5,44,0,1.9,30.2,-5.7,-92,-22.1
 89. ,"Kuhn, John",GB,RB,8,16,19,66,1.3,10.7,71,0.5,1.9,29.7,-5.8,-92.4,-22.2
 90. ,"Harper, Jamie",TEN,RB,6,16,35,143,1.1,6.1,42,0.1,1.8,29.4,-5.8,-92.8,-22.3
 91. ,"Booker, Lorenzo",MIN,RB,9,16,28,111,0.2,12.6,89,0.2,1.8,28.7,-5.8,-93.4,-22.5
 92. ,"Norwood, Jerious",STL,RB,5,16,36,154,0.3,7.9,66,0.1,1.8,28.5,-5.9,-93.6,-22.5
 93. ,"Hilliard, Lex",MIA,RB,5,16,37,149,1.1,4.2,27,0.1,1.7,27.4,-5.9,-94.7,-22.8
 94. ,"Green, Alex",GB,RB,8,16,35,144,0.7,6.8,46,0,1.7,26.7,-6,-95.4,-23
 95. ,"Hester, Jacob",SD,RB,6,16,18,59,0.2,13.1,87,0.5,1.6,25.2,-6.1,-96.9,-23.3
 96. ,"Bradford, Allen",SEA,RB,6,16,30,123,0.8,6.3,43,0,1.5,24.2,-6.1,-97.9,-23.6
 97. ,"Lewis, Dion",PHI,RB,7,16,33,135,0.4,6.1,47,0,1.5,23.6,-6.2,-98.5,-23.7
 98. ,"Smith, Alfonso",ARI,RB,6,16,32,132,0.5,4.8,38,0,1.4,22.3,-6.2,-99.8,-24
 99. ,"Mughelli, Ovie",ATL,RB,8,16,9,26,0,12,86,0.7,1.3,21.2,-6.3,-101,-24.3
 100. ,"Polite, Lousaka",NE,RB,7,16,24,71,0.5,9.1,54,0,1.3,20,-6.4,-102.1,-24.6
 101. ,"Parmele, Jalen",BAL,RB,5,16,21,82,1.2,4.1,24,0,1.2,19.9,-6.4,-102.2,-24.6
